Date,Collected_by,Site,Habitat,tree #,type_Canopy,Species,Status,dbh_ft,dbh_in,dbh_m,Notes_Canopy
6/2/2021,JMD,C104,C,15,Standing,PIPO,D,1,2.4,0.67056,slanted
6/2/2021,JMD,C104,C,17,Standing,PSME,L,1,2.8,0.68072,
6/2/2021,JMD,C104,C,18,Standing,PIPO,L,1,8.6,0.82804,Mistletoe
6/2/2021,JMD,C104,C,20,Standing,PIPO,D,1,8.9,0.83566,
6/2/2021,JMD,C104,C,13,Standing,PSME,L,3,6.2,1.98628,
6/2/2021,JMD,C104,C,14,Standing,PSME,L,3,3.0,1.905,
6/2/2021,JMD,C104,C,16,Standing,PSME,L,3,5.6,1.97104,
6/11/2021,JMD,C105,C,7,Standing,PIPO,L,1,7.2,0.79248,
6/11/2021,JMD,C105,C,8,Standing,PIPO,L,1,9.5,0.8509,
6/11/2021,JMD,C105,C,1,Standing,PIPO,L,2,0.5,1.2319,"Split tree, only 1 was in plot"
6/11/2021,JMD,C105,C,2,Standing,PIPO,L,2,7.7,1.41478,
6/11/2021,JMD,C105,C,5,Standing,PSME,L,2,8.0,1.4224,
6/11/2021,JMD,C105,C,3,Standing,PIPO,L,3,4.0,1.9304,
6/11/2021,JMD,C105,C,6,Standing,PSME,L,3,0.0,1.8288,
6/4/2021,JMD,C107,C,3,Standing,PIPO,L,0,8.5,0.2159,Sap
6/4/2021,JMD,C107,C,4,Standing,PIPO,L,0,5.3,0.13462,sap
6/4/2021,JMD,C107,C,5,Standing,PIPO,L,0,9.7,0.24638,
6/4/2021,JMD,C107,C,6,Standing,PIPO,L,1,2.7,0.67818,
6/4/2021,JMD,C107,C,7,Standing,PIPO,L,1,3.7,0.70358,
6/4/2021,JMD,C107,C,2,Standing,PIPO,L,4,8.8,2.66192,
6/4/2021,JMD,C107,C,1,Standing,PIPO,L,5,9.7,3.29438,
6/10/2021,JMD,C108,C,4,Standing,PIPO,L,0,5.2,0.13208,sap
6/10/2021,JMD,C108,C,5,Standing,PIPO,L,0,4.9,0.12446,sap
6/10/2021,JMD,C108,C,6,Standing,PIPO,L,0,5.8,0.14732,sap
6/10/2021,JMD,C108,C,7,Standing,PIPO,L,0,9.5,0.2413,sap
6/10/2021,JMD,C108,C,8,Standing,PIPO,L,0,6.3,0.16002,sap
6/10/2021,JMD,C108,C,19,Standing,PIPO,L,0,9.0,0.2286,sap
6/10/2021,JMD,C108,C,10,Standing,PIPO,L,1,4.5,0.7239,
6/10/2021,JMD,C108,C,13,Standing,PIPO,L,1,6.0,0.762,
6/10/2021,JMD,C108,C,20,Standing,PIPO,L,1,7.4,0.79756,
6/10/2021,JMD,C108,C,1,Standing,PIPO,L,2,8.3,1.43002,
6/10/2021,JMD,C108,C,2,Standing,PIPO,L,2,6.0,1.3716,
6/10/2021,JMD,C108,C,12,Standing,PIPO,L,2,9.6,1.46304,
6/10/2021,JMD,C108,C,15,Standing,PIPO,L,2,1.5,1.2573,
6/10/2021,JMD,C108,C,16,Standing,PIPO,L,2,6.0,1.3716,
6/10/2021,JMD,C108,C,17,Standing,PIPO,L,2,0.9,1.24206,
6/10/2021,JMD,C108,C,3,Standing,PIPO,L,3,5.1,1.95834,
6/10/2021,JMD,C108,C,14,Standing,PIPO,L,3,7.9,2.02946,
6/10/2021,JMD,C108,C,18,Standing,PIPO,L,3,6.9,2.00406,
7/19/2018,KHE,C11,C,863,Standing,PSME,L,NA,35.4,0.89916,
7/19/2018,KHE,C11,C,864,Standing,PIPO,L,NA,25.5,0.6477,
7/19/2018,KHE,C11,C,865,Standing,PSME,L,NA,42.8,1.08712,
7/19/2018,KHE,C11,C,866,Standing,PIPO,L,NA,30,0.762,
7/19/2018,KHE,C11,C,867,Standing,PSME,L,NA,11.3,0.28702,
7/19/2018,KHE,C11,C,868,Standing,PSME,L,NA,36.2,0.91948,
7/19/2018,KHE,C11,C,869,Standing,PSME,L,NA,32.8,0.83312,
7/19/2018,KHE,C11,C,870,Standing,PIPO,L,NA,18,0.4572,
7/19/2018,KHE,C11,C,871,Standing,PSME,L,NA,32.6,0.82804,
7/19/2018,KHE,C11,C,872,Standing,PSME,L,NA,5.7,0.14478,
7/19/2018,KHE,C11,C,874,Standing,PSME,L,NA,7.6,0.19304,
7/19/2018,KHE,C11,C,878,Standing,PSME,L,NA,26.9,0.68326,
7/19/2018,KHE,C11,C,881,Standing,PSME,L,NA,8,0.2032,
7/19/2018,KHE,C11,C,882,Standing,PSME,L,NA,32.6,0.82804,
7/19/2018,KHE,C11,C,883,Standing,PSME,L,NA,34.7,0.88138,
7/19/2018,KHE,C11,C,884,Standing,PIPO,L,NA,29.1,0.73914,
7/19/2018,KHE,C11,C,885,Standing,PIPO,L,NA,4,0.1016,Mistletoe
7/19/2018,KHE,C11,C,886,Standing,PSME,L,NA,13.4,0.34036,
7/19/2018,KHE,C11,C,887,Standing,PSME,L,NA,5,0.127,
7/19/2018,KHE,C11,C,888,Standing,PSME,L,NA,6.1,0.15494,
7/19/2018,KHE,C11,C,889,Standing,PSME,L,NA,5.9,0.14986,
7/19/2018,KHE,C11,C,890,Standing,PSME,L,NA,7,0.1778,
7/19/2018,KHE,C11,C,891,Standing,PSME,L,NA,9.2,0.23368,
7/19/2018,KHE,C11,C,892,Standing,PSME,L,NA,11,0.2794,
7/19/2018,KHE,C11,C,893,Standing,PSME,L,NA,8.1,0.20574,
7/19/2018,KHE,C11,C,894,Standing,PSME,L,NA,4.4,0.11176,
7/19/2018,KHE,C11,C,895,Standing,PSME,L,NA,9.4,0.23876,
7/19/2018,KHE,C11,C,896,Standing,PSME,L,NA,9,0.2286,
7/19/2018,KHE,C11,C,897,Standing,PSME,L,NA,7.2,0.18288,
7/19/2018,KHE,C11,C,898,Standing,PSME,L,NA,9.1,0.23114,
7/19/2018,KHE,C11,C,899,Standing,PSME,L,NA,9.1,0.23114,
7/19/2018,KHE,C11,C,900,Standing,PSME,L,NA,34,0.8636,
7/19/2018,KHE,C11,C,901,Standing,PSME,L,NA,5.2,0.13208,
7/19/2018,KHE,C11,C,903,Standing,PSME,L,NA,4.5,0.1143,
7/19/2018,KHE,C11,C,906,Standing,PSME,L,NA,4,0.1016,
7/19/2018,KHE,C11,C,907,Standing,PSME,L,NA,6.2,0.15748,
7/19/2018,KHE,C11,C,908,Standing,PSME,L,NA,6,0.1524,
7/19/2018,KHE,C11,C,909,Standing,PSME,L,NA,5.6,0.14224,
7/19/2018,KHE,C11,C,910,Standing,PSME,L,NA,4,0.1016,
7/19/2018,KHE,C11,C,911,Standing,PSME,L,NA,7.5,0.1905,
7/19/2018,KHE,C11,C,912,Standing,PSME,L,NA,4.7,0.11938,
7/19/2018,KHE,C11,C,913,Standing,PSME,L,NA,11.7,0.29718,
7/19/2018,KHE,C11,C,915,Standing,PSME,L,NA,9.5,0.2413,
7/19/2018,KHE,C11,C,917,Standing,PSME,L,NA,6,0.1524,
7/19/2018,KHE,C11,C,922,Standing,PIPO,L,NA,5.1,0.12954,
7/19/2018,KHE,C11,C,923,Standing,PIPO,L,NA,7.9,0.20066,
7/19/2018,KHE,C11,C,924,Standing,PSME,L,NA,9.1,0.23114,
7/19/2018,KHE,C11,C,926,Standing,PSME,L,NA,12.5,0.3175,
7/19/2018,KHE,C11,C,927,Standing,PSME,L,NA,16.5,0.4191,
7/19/2018,KHE,C11,C,928,Standing,PSME,L,NA,7.2,0.18288,
7/19/2018,KHE,C11,C,929,Standing,PSME,L,NA,16.3,0.41402,
7/19/2018,KHE,C11,C,930,Standing,PSME,L,NA,8.8,0.22352,
7/19/2018,KHE,C11,C,931,Standing,PSME,L,NA,9.1,0.23114,
7/19/2018,KHE,C11,C,932,Standing,PSME,L,NA,6.5,0.1651,
7/19/2018,KHE,C11,C,933,Standing,PSME,L,NA,12.5,0.3175,
7/19/2018,KHE,C11,C,934,Standing,PSME,L,NA,11.7,0.29718,
7/19/2018,KHE,C11,C,936,Standing,PIPO,L,NA,4.5,0.1143,
7/19/2018,KHE,C11,C,937,Standing,PSME,L,NA,15,0.381,
7/19/2018,KHE,C11,C,938,Standing,PSME,L,NA,34.6,0.87884,
6/1/2021,JMD,C97,C,6,Standing,JUSC2,L,1,2.9,0.68326,Rocky Mnt Juniper. Changed from JUOC to JUSC2
6/1/2021,JMD,C97,C,1,Standing,PIPO,L,2,6.6,1.38684,split in 2
6/1/2021,JMD,C97,C,3,Standing,PSME,L,2,0.8,1.23952,
6/1/2021,JMD,C97,C,4,Standing,PIPO,L,3,0.3,1.83642,
6/1/2021,JMD,C97,C,5,Standing,PIPO,L,3,8.7,2.04978,
7/26/2018,KHE,H05,H,NA,Standing,PIPO,D,NA,7.3,0.18542,
7/26/2018,KHE,H05,H,NA,Standing,PIPO,D,NA,11.1,0.28194,
7/26/2018,KHE,H05,H,NA,Standing,PIPO,D,NA,41.9,1.06426,
8/2/2018,KHE,H06,H,1596,Standing,PSME,D,NA,5.2,0.13208,Split below dbh
8/2/2018,KHE,H06,H,1597,Standing,PSME,D,NA,6.5,0.1651,Split below dbh
8/2/2018,KHE,H06,H,1603,Standing,PSME,D,NA,7.2,0.18288,
8/2/2018,KHE,H06,H,1607,Standing,PIPO,D,NA,29.5,0.7493,
8/2/2018,KHE,H06,H,1610,Standing,PIPO,D,NA,18.5,0.4699,
8/2/2018,KHE,H06,H,1613,Standing,PIPO,D,NA,16.3,0.41402,
8/2/2018,KHE,H06,H,1616,Standing,PSME,D,NA,17.7,0.44958,
8/2/2018,KHE,H06,H,1617,Standing,PSME,D,NA,12.4,0.31496,
8/2/2018,KHE,H06,H,1618,Standing,PIPO,D,NA,15.1,0.38354,
8/2/2018,KHE,H06,H,1619,Standing,PIPO,D,NA,11.3,0.28702,
8/2/2018,KHE,H06,H,1620,Standing,PIPO,D,NA,14.5,0.3683,
8/2/2018,KHE,H06,H,1627,Standing,PSME,D,NA,7.4,0.18796,
8/2/2018,KHE,H06,H,1628,Standing,PSME,D,NA,5.2,0.13208,
8/2/2018,KHE,H06,H,1629,Standing,JUSC2,D,NA,6,0.1524,
8/2/2018,KHE,H06,H,1630,Standing,PSME,D,NA,6.3,0.16002,
8/2/2018,KHE,H06,H,1632,Standing,PIPO,D,NA,17,0.4318,
8/2/2018,KHE,H06,H,1634,Standing,PIPO,D,NA,6.4,0.16256,
8/2/2018,KHE,H06,H,1641,Standing,PSME,D,NA,10.1,0.25654,
8/2/2018,KHE,H06,H,1643,Standing,PSME,D,NA,8.6,0.21844,
8/2/2018,KHE,H06,H,1645,Standing,PIPO,D,NA,22.9,0.58166,
8/2/2018,KHE,H06,H,1647,Standing,PSME,D,NA,19.2,0.48768,
8/2/2018,KHE,H06,H,1648,Standing,PSME,D,NA,10.8,0.27432,
8/2/2018,KHE,H06,H,1650,Standing,PSME,D,NA,8.6,0.21844,
8/2/2018,KHE,H06,H,1651,Standing,PSME,D,NA,12.3,0.31242,
7/19/2018,KHE,H09,H,940,Standing,PICO,D,NA,7.9,0.20066,"There could have been dead PICO here, although it is a little low in elev for them (jmd)"
7/19/2018,KHE,H09,H,941,Standing,PICO,D,NA,21.1,0.53594,
7/19/2018,KHE,H09,H,942,Standing,PICO,D,NA,15.9,0.40386,
7/19/2018,KHE,H09,H,948,Standing,PICO,D,NA,19.7,0.50038,
7/19/2018,KHE,H09,H,950,Standing,PICO,PD,NA,10.8,0.27432,
7/19/2018,KHE,H09,H,952,S,PICO,D,NA,21.5,0.5461,Measured at 29 cm
7/19/2018,KHE,H09,H,953,Standing,PICO,D,NA,12.4,0.31496,
7/19/2018,KHE,H09,H,954,Standing,PICO,D,NA,19.8,0.50292,
7/19/2018,KHE,H09,H,955,Standing,PICO,D,NA,7.9,0.20066,
7/19/2018,KHE,H09,H,958,S,PICO,D,NA,27.6,0.70104,Measured at 38 cm
7/19/2018,KHE,H09,H,959,Standing,PICO,D,NA,28.8,0.73152,
7/19/2018,KHE,H09,H,960,Standing,PICO,D,NA,26.2,0.66548,
7/19/2018,KHE,H09,H,961,Standing,PICO,D,NA,28.9,0.73406,
7/19/2018,KHE,H09,H,962,Standing,PICO,D,NA,18.5,0.4699,
7/19/2018,KHE,H09,H,963,Standing,PICO,D,NA,25.1,0.63754,
7/19/2018,KHE,H09,H,964,Standing,PICO,D,NA,8.8,0.22352,
7/19/2018,KHE,H09,H,965,Standing,PICO,D,NA,14.5,0.3683,
7/19/2018,KHE,H09,H,966,Standing,PICO,D,NA,8,0.2032,
7/19/2018,KHE,H09,H,967,Standing,PICO,D,NA,21.2,0.53848,
7/19/2018,KHE,H09,H,969,Standing,PICO,D,NA,5.1,0.12954,
7/19/2018,KHE,H09,H,970,Standing,PICO,D,NA,4.7,0.11938,
7/19/2018,KHE,H09,H,976,Standing,PICO,D,NA,5.8,0.14732,
7/19/2018,KHE,H09,H,979,S,PICO,D,NA,22.5,0.5715,
6/1/2021,JMD,H101,H,1,Standing,PIPO,D,1,6.5,0.7747,
6/1/2021,JMD,H101,H,2,Standing,PIPO,D,4,5.4,2.57556,
6/9/2021,JMD,H103,H,1,Standing,PIPO,D,4,8.9,2.66446,
8/2/2018,KHE,H12,H,NA,Standing,PIPO,D,NA,17.8,0.45212,
8/2/2018,KHE,H12,H,NA,Standing,PSME,D,NA,20.0,0.508,
8/2/2018,KHE,H12,H,NA,Standing,PSME,D,NA,20.5,0.5207,
8/2/2018,KHE,H12,H,NA,Standing,PIPO,D,NA,29.1,0.73914,
8/2/2018,KHE,H12,H,NA,Standing,PIPO,D,NA,31.6,0.80264,
6/28/2018,KHE,H13,H,NA,Standing,PIPO,D,NA,14.0,0.3556,
6/28/2018,KHE,H13,H,NA,S,PIPO,D,NA,14.0,0.3556,
6/28/2018,KHE,H13,H,NA,None,PIPO,D,NA,18.9,0.48006,
6/28/2018,KHE,H13,H,NA,Standing,PIPO,D,NA,19.9,0.50546,
7/19/2018,KHE,H15,H,25,Standing,PIPO,D,NA,31.4,0.79756,
7/19/2018,KHE,H15,H,27,Standing,PIPO,D,NA,31.6,0.80264,
7/19/2018,KHE,H15,H,32,S,PIPO,D,NA,37.1,0.94234,
7/19/2018,KHE,H15,H,34,Standing,PIPO,D,NA,23.1,0.58674,
7/19/2018,KHE,H15,H,35,Standing,PIPO,D,NA,13.3,0.33782,
7/19/2018,KHE,H15,H,36,Standing,PIPO,D,NA,34.4,0.87376,
7/26/2018,KHE,T08,T,1285,Standing,PIPO,L,NA,42.3,1.07442,
7/26/2018,KHE,T08,T,1286,Standing,PIPO,L,NA,29,0.7366,
7/26/2018,KHE,T08,T,1287,Standing,PIPO,L,NA,26.1,0.66294,
7/26/2018,KHE,T08,T,1288,Standing,PSME,L,NA,26.5,0.6731,
7/26/2018,KHE,T08,T,1289,Standing,PIPO,L,NA,35.6,0.90424,
7/26/2018,KHE,T08,T,1290,Standing,PSME,L,NA,30.5,0.7747,
7/26/2018,KHE,T08,T,1291,Standing,POTR5,L,NA,5.3,0.13462,
7/26/2018,KHE,T08,T,1292,Standing,PIPO,L,NA,31.1,0.78994,
7/26/2018,KHE,T08,T,1293,Standing,PIPO,L,NA,33.1,0.84074,
7/26/2018,KHE,T08,T,1294,Standing,PSME,L,NA,18.2,0.46228,
7/26/2018,KHE,T08,T,1295,S,PSME,L,NA,6.4,0.16256,Christmas tree stump
7/26/2018,KHE,T08,T,1296,S,PSME,D,NA,22.5,0.5715,
7/26/2018,KHE,T08,T,1297,S,PSME,D,NA,28.2,0.71628,
7/26/2018,KHE,T08,T,1298,S,PSME,D,NA,20.3,0.51562,
7/26/2018,KHE,T08,T,1299,S,PIPO,D,NA,27.5,0.6985,
7/26/2018,KHE,T08,T,1300,S,PIPO,D,NA,15.5,0.3937,
7/26/2018,KHE,T08,T,1301,S,PIPO,D,NA,6.5,0.1651,
7/26/2018,KHE,T08,T,1302,S,PIPO,D,NA,7.4,0.18796,
7/26/2018,KHE,T08,T,1303,S,PIPO,D,NA,13.3,0.33782,
7/26/2018,KHE,T08,T,1304,S,PIPO,D,NA,30.6,0.77724,
7/26/2018,KHE,T08,T,1305,S,PIPO,D,NA,7.4,0.18796,
7/26/2018,KHE,T08,T,1306,S,PIPO,D,NA,23.7,0.60198,
7/26/2018,KHE,T08,T,1307,S,PSME,D,NA,7.7,0.19558,
7/26/2018,KHE,T08,T,1308,S,PSME,D,NA,34.5,0.8763,
6/10/2021,JMD,T101,T,NA,NA,NA,NA,NA,NA,NA,No trees in plot
6/9/2021,JMD,T103,T,1,Standing,PIPO,L,3,9.6,2.07264,"Has some mistletoe, but not brown needles"
6/9/2021,JMD,T103,T,2,Standing,PIPO,L,4,1.9,2.48666,
NA,JMD,T106,T,NA,NA,NA,NA,NA,NA,NA,missing
5/27/2021,JMD,T13,T,1,Standing,PIPO,L,4,8.7,2.65938,
6/2/2021,JMD,T96,T,4,Standing,PIPO,L,1,5.8,0.75692,
6/2/2021,JMD,T96,T,6,Standing,PIPO,L,1,2.3,0.66802,Mistletoe
6/2/2021,JMD,T96,T,9,Standing,PIPO,L,1,7.4,0.79756,No brown needles but mistletoe
6/2/2021,JMD,T96,T,1,Standing,PSME,L,2,8.5,1.4351,"Same tree as #2, split in 2"
6/2/2021,JMD,T96,T,2,Standing,PSME,L,2,7.8,1.41732,"Same tree as #1, split in 2"
6/2/2021,JMD,T96,T,7,Standing,PIPO,L,2,0.3,1.22682,Mistletoe
6/2/2021,JMD,T96,T,8,Standing,PSME,L,2,5.0,1.3462,
11/7/2020,JMD,T98,T,1,S,PIPO,L,NA,5.3,0.13462,"*Only saplings in plot (22.6 ft radius), but there are adult trees at site"
11/7/2020,JMD,T98,T,4,S,PSME,L,NA,4.3,0.10922,
11/13/2020,JMD,T99,T,1,S,PIPO,L,NA,33.2,0.84328,"Some missing bark, but no brown needles"
11/13/2020,JMD,T99,T,2,S,PIPO,L,NA,26.5,0.6731,"Some missing bark, but no brown needles"
11/13/2020,JMD,T99,T,3,S,PIPO,L,NA,29.1,0.73914,"Some missing bark, but no brown needles"
11/13/2020,JMD,T99,T,4,S,PIPO,L,NA,9.1,0.23114,
11/13/2020,JMD,T99,T,5,S,PIPO,L,NA,31.4,0.79756,"Some missing bark, but no brown needles"
