ID,Site,BeesReleased,BeesCollected,Longitude,Latitude,Elevation_m,Date,FieldDay,tmean_C,DD_added,DD_accumulated
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/13/2021,19,16.9,11.9,153.6
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/14/2021,20,19,14,167.6
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/15/2021,21,20.3,15.3,182.9
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/16/2021,22,22.7,17.7,200.6
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/17/2021,23,21.9,16.9,217.5
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/18/2021,24,22.4,17.4,234.9
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/19/2021,25,18.8,13.8,248.7
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/20/2021,26,18.3,13.3,262
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/21/2021,27,14.8,9.8,271.8
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/22/2021,28,11,6,277.8
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/23/2021,29,19.5,14.5,292.3
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/24/2021,30,19,14,306.3
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/25/2021,31,15.3,10.3,316.6
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/26/2021,32,13.1,8.1,324.7
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/27/2021,33,10.4,5.4,330.1
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/28/2021,34,10.3,5.3,335.4
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/29/2021,35,10.7,5.7,341.1
1,C05,5/26/2021,6/30/2021,-105.4131,40.0717,2519,6/30/2021,36,11.3,6.3,347.4
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,5/27/2021,1,15.3,10.3,1
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,5/28/2021,2,12.2,7.2,8.2
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,5/29/2021,3,17,12,20.2
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,5/30/2021,4,15.1,10.1,30.3
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,5/31/2021,5,8.5,3.5,33.8
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/1/2021,6,9.1,4.1,37.9
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/2/2021,7,12.1,7.1,45
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/3/2021,8,15.4,10.4,55.4
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/4/2021,9,18.7,13.7,69.1
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/5/2021,10,21.3,16.3,85.4
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/6/2021,11,24.5,19.5,104.9
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/7/2021,12,21,16,120.9
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/8/2021,13,21.5,16.5,137.4
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/9/2021,14,21.4,16.4,153.8
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/10/2021,15,21.5,16.5,170.3
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/11/2021,16,22.8,17.8,188.1
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/12/2021,17,17.3,12.3,200.4
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/13/2021,18,20.6,15.6,216
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/14/2021,19,23.7,18.7,234.7
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/15/2021,20,24.8,19.8,254.5
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/16/2021,21,27,22,276.5
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/17/2021,22,27,22,298.5
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/18/2021,23,27.4,22.4,320.9
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/19/2021,24,23.1,18.1,339
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/20/2021,25,22.7,17.7,356.7
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/21/2021,26,16.4,11.4,368.1
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/22/2021,27,14.3,9.3,377.4
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/23/2021,28,23.7,18.7,396.1
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/24/2021,29,23.6,18.6,414.7
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/25/2021,30,19.5,14.5,429.2
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/26/2021,31,16.6,11.6,440.8
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/27/2021,32,14,9,449.8
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/28/2021,33,14.4,9.4,459.2
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/29/2021,34,15,10,469.2
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,6/30/2021,35,15.9,10.9,480.1
2,C101,5/27/2021,7/1/2021,-105.3202,40.0579,2000,7/1/2021,36,18.4,13.4,493.5
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,5/24/2021,1,11.4,6.4,1
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,5/25/2021,2,11.4,6.4,7.4
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,5/26/2021,3,13.6,8.6,16
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,5/27/2021,4,14.8,9.8,25.8
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,5/28/2021,5,11.5,6.5,32.3
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,5/29/2021,6,15.7,10.7,43
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,5/30/2021,7,13.7,8.7,51.7
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,5/31/2021,8,7.1,2.1,53.8
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/1/2021,9,8,3,56.8
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/2/2021,10,10.8,5.8,62.6
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/3/2021,11,12.8,7.8,70.4
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/4/2021,12,16.6,11.6,82
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/5/2021,13,19.4,14.4,96.4
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/6/2021,14,21.9,16.9,113.3
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/7/2021,15,19,14,127.3
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/8/2021,16,19.9,14.9,142.2
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/9/2021,17,19,14,156.2
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/10/2021,18,19.2,14.2,170.4
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/11/2021,19,20.8,15.8,186.2
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/12/2021,20,15,10,196.2
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/13/2021,21,18.4,13.4,209.6
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/14/2021,22,21.2,16.2,225.8
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/15/2021,23,22.4,17.4,243.2
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/16/2021,24,25.9,20.9,264.1
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/17/2021,25,23.5,18.5,282.6
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/18/2021,26,25.1,20.1,302.7
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/19/2021,27,21,16,318.7
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/20/2021,28,20.8,15.8,334.5
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/21/2021,29,15.8,10.8,345.3
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/22/2021,30,12.4,7.4,352.7
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/23/2021,31,20.7,15.7,368.4
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/24/2021,32,21,16,384.4
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/25/2021,33,17.8,12.8,397.2
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/26/2021,34,15.8,10.8,408
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/27/2021,35,12.9,7.9,415.9
3,C104,5/24/2021,6/28/2021,-105.3251,39.953,2213,6/28/2021,36,13.1,8.1,424
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,5/25/2021,1,13.2,8.2,1
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,5/26/2021,2,15.5,10.5,11.5
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,5/27/2021,3,15.3,10.3,21.8
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,5/28/2021,4,12.2,7.2,29
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,5/29/2021,5,17,12,41
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,5/30/2021,6,15.1,10.1,51.1
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,5/31/2021,7,8.5,3.5,54.6
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/1/2021,8,9.1,4.1,58.7
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/2/2021,9,12.1,7.1,65.8
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/3/2021,10,15.4,10.4,76.2
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/4/2021,11,18.7,13.7,89.9
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/5/2021,12,21.3,16.3,106.2
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/6/2021,13,24.5,19.5,125.7
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/7/2021,14,21,16,141.7
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/8/2021,15,21.5,16.5,158.2
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/9/2021,16,21.4,16.4,174.6
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/10/2021,17,21.5,16.5,191.1
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/11/2021,18,22.8,17.8,208.9
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/12/2021,19,17.3,12.3,221.2
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/13/2021,20,20.6,15.6,236.8
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/14/2021,21,23.7,18.7,255.5
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/15/2021,22,24.8,19.8,275.3
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/16/2021,23,27,22,297.3
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/17/2021,24,27,22,319.3
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/18/2021,25,27.4,22.4,341.7
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/19/2021,26,23.1,18.1,359.8
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/20/2021,27,22.7,17.7,377.5
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/21/2021,28,16.4,11.4,388.9
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/22/2021,29,14.3,9.3,398.2
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/23/2021,30,23.7,18.7,416.9
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/24/2021,31,23.6,18.6,435.5
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/25/2021,32,19.5,14.5,450
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/26/2021,33,16.6,11.6,461.6
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/27/2021,34,14,9,470.6
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/28/2021,35,14.4,9.4,480
4,C105,5/25/2021,6/29/2021,-105.3513,40.0349,2000,6/29/2021,36,15,10,490
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,5/26/2021,1,13.7,8.7,1
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,5/27/2021,2,14.4,9.4,10.4
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,5/28/2021,3,11.9,6.9,17.3
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,5/29/2021,4,15.6,10.6,27.9
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,5/30/2021,5,14,9,36.9
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,5/31/2021,6,7.6,2.6,39.5
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/1/2021,7,7.9,2.9,42.4
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/2/2021,8,10.9,5.9,48.3
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/3/2021,9,13.6,8.6,56.9
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/4/2021,10,17,12,68.9
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/5/2021,11,19.5,14.5,83.4
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/6/2021,12,21.9,16.9,100.3
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/7/2021,13,19.3,14.3,114.6
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/8/2021,14,19.9,14.9,129.5
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/9/2021,15,19.8,14.8,144.3
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/10/2021,16,19.6,14.6,158.9
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/11/2021,17,21.1,16.1,175
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/12/2021,18,15.6,10.6,185.6
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/13/2021,19,19.1,14.1,199.7
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/14/2021,20,21.9,16.9,216.6
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/15/2021,21,23.2,18.2,234.8
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/16/2021,22,25.8,20.8,255.6
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/17/2021,23,24.7,19.7,275.3
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/18/2021,24,25.4,20.4,295.7
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/19/2021,25,21.3,16.3,312
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/20/2021,26,20.9,15.9,327.9
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/21/2021,27,16.4,11.4,339.3
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/22/2021,28,13.2,8.2,347.5
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/23/2021,29,21.6,16.6,364.1
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/24/2021,30,21.8,16.8,380.9
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/25/2021,31,18,13,393.9
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/26/2021,32,15.6,10.6,404.5
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/27/2021,33,13,8,412.5
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/28/2021,34,13.1,8.1,420.6
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/29/2021,35,13.6,8.6,429.2
5,C107,5/26/2021,6/30/2021,-105.3387,40.1089,2165,6/30/2021,36,14.5,9.5,438.7
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,5/27/2021,1,15.3,10.3,1
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,5/28/2021,2,12.2,7.2,8.2
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,5/29/2021,3,17,12,20.2
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,5/30/2021,4,15.1,10.1,30.3
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,5/31/2021,5,8.5,3.5,33.8
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/1/2021,6,9.1,4.1,37.9
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/2/2021,7,12.1,7.1,45
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/3/2021,8,15.4,10.4,55.4
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/4/2021,9,18.7,13.7,69.1
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/5/2021,10,21.3,16.3,85.4
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/6/2021,11,24.5,19.5,104.9
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/7/2021,12,21,16,120.9
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/8/2021,13,21.5,16.5,137.4
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/9/2021,14,21.4,16.4,153.8
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/10/2021,15,21.5,16.5,170.3
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/11/2021,16,22.8,17.8,188.1
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/12/2021,17,17.3,12.3,200.4
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/13/2021,18,20.6,15.6,216
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/14/2021,19,23.7,18.7,234.7
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/15/2021,20,24.8,19.8,254.5
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/16/2021,21,27,22,276.5
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/17/2021,22,27,22,298.5
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/18/2021,23,27.4,22.4,320.9
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/19/2021,24,23.1,18.1,339
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/20/2021,25,22.7,17.7,356.7
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/21/2021,26,16.4,11.4,368.1
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/22/2021,27,14.3,9.3,377.4
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/23/2021,28,23.7,18.7,396.1
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/24/2021,29,23.6,18.6,414.7
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/25/2021,30,19.5,14.5,429.2
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/26/2021,31,16.6,11.6,440.8
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/27/2021,32,14,9,449.8
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/28/2021,33,14.4,9.4,459.2
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/29/2021,34,15,10,469.2
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,6/30/2021,35,15.9,10.9,480.1
6,C108,5/27/2021,7/1/2021,-105.3134,40.0352,2000,7/1/2021,36,18.4,13.4,493.5
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,5/24/2021,1,11.8,6.8,1
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,5/25/2021,2,12,7,8
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,5/26/2021,3,14.1,9.1,17.1
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,5/27/2021,4,14.9,9.9,27
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,5/28/2021,5,12.1,7.1,34.1
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,5/29/2021,6,16.1,11.1,45.2
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,5/30/2021,7,14,9,54.2
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,5/31/2021,8,7.7,2.7,56.9
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/1/2021,9,8.3,3.3,60.2
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/2/2021,10,11.4,6.4,66.6
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/3/2021,11,13.7,8.7,75.3
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/4/2021,12,17.3,12.3,87.6
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/5/2021,13,20,15,102.6
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/6/2021,14,22.5,17.5,120.1
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/7/2021,15,19.7,14.7,134.8
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/8/2021,16,20.5,15.5,150.3
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/9/2021,17,19.9,14.9,165.2
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/10/2021,18,20.1,15.1,180.3
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/11/2021,19,21.5,16.5,196.8
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/12/2021,20,15.8,10.8,207.6
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/13/2021,21,19.2,14.2,221.8
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/14/2021,22,22.1,17.1,238.9
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/15/2021,23,23.4,18.4,257.3
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/16/2021,24,26.2,21.2,278.5
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/17/2021,25,24.6,19.6,298.1
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/18/2021,26,25.9,20.9,319
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/19/2021,27,21.8,16.8,335.8
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/20/2021,28,21.4,16.4,352.2
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/21/2021,29,16.2,11.2,363.4
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/22/2021,30,13,8,371.4
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/23/2021,31,21.5,16.5,387.9
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/24/2021,32,22,17,404.9
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/25/2021,33,18.4,13.4,418.3
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/26/2021,34,16.1,11.1,429.4
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/27/2021,35,13.4,8.4,437.8
7,C11,5/24/2021,6/28/2021,-105.3091,39.9709,2143,6/28/2021,36,13.6,8.6,446.4
8,C97,5/24/2021,6/28/2021,-105.3155,39.9592,2213,5/24/2021,1,11.4,6.4,1
8,C97,5/24/2021,6/28/2021,-105.3155,39.9592,2213,5/25/2021,2,11.4,6.4,7.4
8,C97,5/24/2021,6/28/2021,-105.3155,39.9592,2213,5/26/2021,3,13.6,8.6,16
8,C97,5/24/2021,6/28/2021,-105.3155,39.9592,2213,5/27/2021,4,14.8,9.8,25.8
8,C97,5/24/2021,6/28/2021,-105.3155,39.9592,2213,5/28/2021,5,11.5,6.5,32.3
8,C97,5/24/2021,6/28/2021,-105.3155,39.9592,2213,5/29/2021,6,15.7,10.7,43
8,C97,5/24/2021,6/28/2021,-105.3155,39.9592,2213,5/30/2021,7,13.7,8.7,51.7
8,C97,5/24/2021,6/28/2021,-105.3155,39.9592,2213,5/31/2021,8,7.1,2.1,53.8
8,C97,5/24/2021,6/28/2021,-105.3155,39.9592,2213,6/1/2021,9,8,3,56.8
