Date,Collected_by,Site,Habitat,Index,Type,Species,Status,dbh_in,dbh_m,Notes
7/26/2018,KHE,C05,C,1180,Standing,PSME,L,6,0.1524,
7/26/2018,KHE,C05,C,1181,Standing,PSME,L,13.2,0.33528,
7/26/2018,KHE,C05,C,1182,Standing,PIPO,L,10.6,0.26924,
7/26/2018,KHE,C05,C,1183,Standing,PIPO,L,6.4,0.16256,
7/26/2018,KHE,C05,C,1184,Standing,PIPO,L,13.2,0.33528,"Right angle band below dbh., measured at bend"
7/26/2018,KHE,C05,C,1185,Standing,PICO,L,20.1,0.51054,
7/26/2018,KHE,C05,C,1189,Standing,PIPO,L,8.7,0.22098,
7/26/2018,KHE,C05,C,1190,Standing,PIPO,L,7.4,0.18796,
7/26/2018,KHE,C05,C,1192,Standing,PIPO,L,8.5,0.2159,
7/26/2018,KHE,C05,C,1193,Standing,PIPO,L,11.5,0.2921,
7/26/2018,KHE,C05,C,1194,Standing,PIPO,L,11,0.2794,
7/26/2018,KHE,C05,C,1196,Standing,PSME,L,19.8,0.50292,
7/26/2018,KHE,C05,C,1197,Standing,PSME,D,9.5,0.2413,
7/26/2018,KHE,C05,C,1199,Standing,PSME,L,9.9,0.25146,
7/26/2018,KHE,C05,C,1200,Standing,PSME,L,19.7,0.50038,
7/26/2018,KHE,C05,C,1201,Standing,PIPO,L,17.7,0.44958,
7/26/2018,KHE,C05,C,1202,Standing,PIPO,L,8.5,0.2159,
7/26/2018,KHE,C05,C,1203,Standing,PIPO,L,15.4,0.39116,
7/26/2018,KHE,C05,C,1204,Standing,PSME,L,20,0.508,Growing prostrate. Measured at dbh along ground
NA,NA,C06,C,NA,NA,NA,NA,NA,NA,Missing
7/19/2018,KHE,C11,C,863,Standing,PSME,L,35.4,0.89916,
7/19/2018,KHE,C11,C,864,Standing,PIPO,L,25.5,0.6477,
7/19/2018,KHE,C11,C,865,Standing,PSME,L,42.8,1.08712,
7/19/2018,KHE,C11,C,866,Standing,PIPO,L,30,0.762,
7/19/2018,KHE,C11,C,867,Standing,PSME,L,11.3,0.28702,
7/19/2018,KHE,C11,C,868,Standing,PSME,L,36.2,0.91948,
7/19/2018,KHE,C11,C,869,Standing,PSME,L,32.8,0.83312,
7/19/2018,KHE,C11,C,870,Standing,PIPO,L,18,0.4572,
7/19/2018,KHE,C11,C,871,Standing,PSME,L,32.6,0.82804,
7/19/2018,KHE,C11,C,872,Standing,PSME,L,5.7,0.14478,
7/19/2018,KHE,C11,C,874,Standing,PSME,L,7.6,0.19304,
7/19/2018,KHE,C11,C,878,Standing,PSME,L,26.9,0.68326,
7/19/2018,KHE,C11,C,881,Standing,PSME,L,8,0.2032,
7/19/2018,KHE,C11,C,882,Standing,PSME,L,32.6,0.82804,
7/19/2018,KHE,C11,C,883,Standing,PSME,L,34.7,0.88138,
7/19/2018,KHE,C11,C,884,Standing,PIPO,L,29.1,0.73914,
7/19/2018,KHE,C11,C,885,Standing,PIPO,L,4,0.1016,Mistletoe
7/19/2018,KHE,C11,C,886,Standing,PSME,L,13.4,0.34036,
7/19/2018,KHE,C11,C,887,Standing,PSME,L,5,0.127,
7/19/2018,KHE,C11,C,888,Standing,PSME,L,6.1,0.15494,
7/19/2018,KHE,C11,C,889,Standing,PSME,L,5.9,0.14986,
7/19/2018,KHE,C11,C,890,Standing,PSME,L,7,0.1778,
7/19/2018,KHE,C11,C,891,Standing,PSME,L,9.2,0.23368,
7/19/2018,KHE,C11,C,892,Standing,PSME,L,11,0.2794,
7/19/2018,KHE,C11,C,893,Standing,PSME,L,8.1,0.20574,
7/19/2018,KHE,C11,C,894,Standing,PSME,L,4.4,0.11176,
7/19/2018,KHE,C11,C,895,Standing,PSME,L,9.4,0.23876,
7/19/2018,KHE,C11,C,896,Standing,PSME,L,9,0.2286,
7/19/2018,KHE,C11,C,897,Standing,PSME,L,7.2,0.18288,
7/19/2018,KHE,C11,C,898,Standing,PSME,L,9.1,0.23114,
7/19/2018,KHE,C11,C,899,Standing,PSME,L,9.1,0.23114,
7/19/2018,KHE,C11,C,900,Standing,PSME,L,34,0.8636,
7/19/2018,KHE,C11,C,901,Standing,PSME,L,5.2,0.13208,
7/19/2018,KHE,C11,C,903,Standing,PSME,L,4.5,0.1143,
7/19/2018,KHE,C11,C,906,Standing,PSME,L,4,0.1016,
7/19/2018,KHE,C11,C,907,Standing,PSME,L,6.2,0.15748,
7/19/2018,KHE,C11,C,908,Standing,PSME,L,6,0.1524,
7/19/2018,KHE,C11,C,909,Standing,PSME,L,5.6,0.14224,
7/19/2018,KHE,C11,C,910,Standing,PSME,L,4,0.1016,
7/19/2018,KHE,C11,C,911,Standing,PSME,L,7.5,0.1905,
7/19/2018,KHE,C11,C,912,Standing,PSME,L,4.7,0.11938,
7/19/2018,KHE,C11,C,913,Standing,PSME,L,11.7,0.29718,
7/19/2018,KHE,C11,C,915,Standing,PSME,L,9.5,0.2413,
7/19/2018,KHE,C11,C,917,Standing,PSME,L,6,0.1524,
7/19/2018,KHE,C11,C,922,Standing,PIPO,L,5.1,0.12954,
7/19/2018,KHE,C11,C,923,Standing,PIPO,L,7.9,0.20066,
7/19/2018,KHE,C11,C,924,Standing,PSME,L,9.1,0.23114,
7/19/2018,KHE,C11,C,926,Standing,PSME,L,12.5,0.3175,
7/19/2018,KHE,C11,C,927,Standing,PSME,L,16.5,0.4191,
7/19/2018,KHE,C11,C,928,Standing,PSME,L,7.2,0.18288,
7/19/2018,KHE,C11,C,929,Standing,PSME,L,16.3,0.41402,
7/19/2018,KHE,C11,C,930,Standing,PSME,L,8.8,0.22352,
7/19/2018,KHE,C11,C,931,Standing,PSME,L,9.1,0.23114,
7/19/2018,KHE,C11,C,932,Standing,PSME,L,6.5,0.1651,
7/19/2018,KHE,C11,C,933,Standing,PSME,L,12.5,0.3175,
7/19/2018,KHE,C11,C,934,Standing,PSME,L,11.7,0.29718,
7/19/2018,KHE,C11,C,936,Standing,PIPO,L,4.5,0.1143,
7/19/2018,KHE,C11,C,937,Standing,PSME,L,15,0.381,
7/19/2018,KHE,C11,C,938,Standing,PSME,L,34.6,0.87884,
8/2/2018,KHE,C21,C,1822,Standing,PSME,L,5.7,0.14478,
8/2/2018,KHE,C21,C,1823,Standing,PSME,L,24.4,0.61976,
8/2/2018,KHE,C21,C,1824,Standing,PIPO,L,33.5,0.8509,
8/2/2018,KHE,C21,C,1825,Standing,PIPO,L,31.6,0.80264,Split below dbh
8/2/2018,KHE,C21,C,1826,Standing,PIPO,D,23.9,0.60706,Split below dbh
8/2/2018,KHE,C21,C,1827,Standing,PIPO,L,11.6,0.29464,
8/2/2018,KHE,C21,C,1828,Standing,PSME,L,15.1,0.38354,
8/2/2018,KHE,C21,C,1829,Standing,PIPO,L,28.8,0.73152,
8/2/2018,KHE,C21,C,1830,Standing,PIPO,L,23.8,0.60452,
8/2/2018,KHE,C21,C,1831,Standing,PIPO,L,5.8,0.14732,
8/2/2018,KHE,C21,C,1832,Standing,PIPO,L,21.5,0.5461,
8/2/2018,KHE,C21,C,1833,Standing,PIPO,L,14.5,0.3683,
8/2/2018,KHE,C21,C,1834,Standing,PIPO,L,6.4,0.16256,
8/2/2018,KHE,C21,C,1835,Standing,PIPO,L,22,0.5588,
8/2/2018,KHE,C21,C,1836,Standing,PIPO,L,16.4,0.41656,
8/2/2018,KHE,C21,C,1837,Standing,PIPO,L,18,0.4572,
8/2/2018,KHE,C21,C,1838,Standing,PIPO,L,24.5,0.6223,
8/2/2018,KHE,C21,C,1839,Standing,PIPO,L,18.2,0.46228,
8/2/2018,KHE,C21,C,1840,Standing,PSME,L,4.2,0.10668,
8/2/2018,KHE,H03,H,1459,Standing,PSME,D,10.9,0.27686,
8/2/2018,KHE,H03,H,1461,Standing,PSME,D,11.2,0.28448,
8/2/2018,KHE,H03,H,1462,Standing,PSME,D,13.4,0.34036,
8/2/2018,KHE,H03,H,1463,Standing,PSME,D,44.9,1.14046,
8/2/2018,KHE,H03,H,1464,Standing,PSME,D,26.3,0.66802,
8/2/2018,KHE,H06,H,1596,Standing,PSME,D,5.2,0.13208,Split below dbh
8/2/2018,KHE,H06,H,1597,Standing,PSME,D,6.5,0.1651,Split below dbh
8/2/2018,KHE,H06,H,1603,Standing,PSME,D,7.2,0.18288,
8/2/2018,KHE,H06,H,1607,Standing,PIPO,D,29.5,0.7493,
8/2/2018,KHE,H06,H,1610,Standing,PIPO,D,18.5,0.4699,
8/2/2018,KHE,H06,H,1613,Standing,PIPO,D,16.3,0.41402,
8/2/2018,KHE,H06,H,1616,Standing,PSME,D,17.7,0.44958,
8/2/2018,KHE,H06,H,1617,Standing,PSME,D,12.4,0.31496,
8/2/2018,KHE,H06,H,1618,Standing,PIPO,D,15.1,0.38354,
8/2/2018,KHE,H06,H,1619,Standing,PIPO,D,11.3,0.28702,
8/2/2018,KHE,H06,H,1620,Standing,PIPO,D,14.5,0.3683,
8/2/2018,KHE,H06,H,1627,Standing,PSME,D,7.4,0.18796,
8/2/2018,KHE,H06,H,1628,Standing,PSME,D,5.2,0.13208,
8/2/2018,KHE,H06,H,1629,Standing,JUSC2,D,6,0.1524,
8/2/2018,KHE,H06,H,1630,Standing,PSME,D,6.3,0.16002,
8/2/2018,KHE,H06,H,1632,Standing,PIPO,D,17,0.4318,
8/2/2018,KHE,H06,H,1634,Standing,PIPO,D,6.4,0.16256,
8/2/2018,KHE,H06,H,1641,Standing,PSME,D,10.1,0.25654,
8/2/2018,KHE,H06,H,1643,Standing,PSME,D,8.6,0.21844,
8/2/2018,KHE,H06,H,1645,Standing,PIPO,D,22.9,0.58166,
8/2/2018,KHE,H06,H,1647,Standing,PSME,D,19.2,0.48768,
8/2/2018,KHE,H06,H,1648,Standing,PSME,D,10.8,0.27432,
8/2/2018,KHE,H06,H,1650,Standing,PSME,D,8.6,0.21844,
8/2/2018,KHE,H06,H,1651,Standing,PSME,D,12.3,0.31242,
7/19/2018,KHE,H09,H,940,Standing,PICO,D,7.9,0.20066,
7/19/2018,KHE,H09,H,941,Standing,PICO,D,21.1,0.53594,
7/19/2018,KHE,H09,H,942,Standing,PICO,D,15.9,0.40386,
7/19/2018,KHE,H09,H,948,Standing,PICO,D,19.7,0.50038,
7/19/2018,KHE,H09,H,950,Standing,PICO,PD,10.8,0.27432,
7/19/2018,KHE,H09,H,952,S,PICO,D,21.5,0.5461,Measured at 29 cm
7/19/2018,KHE,H09,H,953,Standing,PICO,D,12.4,0.31496,
7/19/2018,KHE,H09,H,954,Standing,PICO,D,19.8,0.50292,
7/19/2018,KHE,H09,H,955,Standing,PICO,D,7.9,0.20066,
7/19/2018,KHE,H09,H,958,S,PICO,D,27.6,0.70104,Measured at 38 cm
7/19/2018,KHE,H09,H,959,Standing,PICO,D,28.8,0.73152,
7/19/2018,KHE,H09,H,960,Standing,PICO,D,26.2,0.66548,
7/19/2018,KHE,H09,H,961,Standing,PICO,D,28.9,0.73406,
7/19/2018,KHE,H09,H,962,Standing,PICO,D,18.5,0.4699,
7/19/2018,KHE,H09,H,963,Standing,PICO,D,25.1,0.63754,
7/19/2018,KHE,H09,H,964,Standing,PICO,D,8.8,0.22352,
7/19/2018,KHE,H09,H,965,Standing,PICO,D,14.5,0.3683,
7/19/2018,KHE,H09,H,966,Standing,PICO,D,8,0.2032,
7/19/2018,KHE,H09,H,967,Standing,PICO,D,21.2,0.53848,
7/19/2018,KHE,H09,H,969,Standing,PICO,D,5.1,0.12954,
7/19/2018,KHE,H09,H,970,Standing,PICO,D,4.7,0.11938,
7/19/2018,KHE,H09,H,976,Standing,PICO,D,5.8,0.14732,
7/19/2018,KHE,H09,H,979,S,PICO,D,22.5,0.5715,
7/19/2018,KHE,H15,H,25,Standing,PIPO,D,31.4,0.79756,
7/19/2018,KHE,H15,H,27,Standing,PIPO,D,31.6,0.80264,
7/19/2018,KHE,H15,H,32,S,PIPO,D,37.1,0.94234,
7/19/2018,KHE,H15,H,34,Standing,PIPO,D,23.1,0.58674,
7/19/2018,KHE,H15,H,35,Standing,PIPO,D,13.3,0.33782,
7/19/2018,KHE,H15,H,36,Standing,PIPO,D,34.4,0.87376,
8/2/2018,KHE,H18,H,1785,Standing,PIPO,D,34.7,0.88138,
8/2/2018,KHE,H18,H,1786,Standing,PSME,D,4.2,0.10668,
8/2/2018,KHE,H18,H,1797,Standing,PIPO,D,10.4,0.26416,
8/2/2018,KHE,H18,H,1803,Standing,PSME,D,5.5,0.1397,
8/2/2018,KHE,H18,H,1804,Standing,PIPO,D,37,0.9398,
8/2/2018,KHE,H18,H,1805,Standing,PIPO,D,30,0.762,
8/2/2018,KHE,H18,H,1806,Standing,PIPO,D,21.2,0.53848,
6/27/2018,KHE,T02,T,192,Standing,PIPO,L,25.9,0.65786,
6/27/2018,KHE,T02,T,194,Standing,PIPO,L,38.7,0.98298,
6/27/2018,KHE,T02,T,195,Standing,PIPO,L,28,0.7112,
6/27/2018,KHE,T02,T,196,Standing,PIPO,L,29,0.7366,
6/27/2018,KHE,T02,T,197,Standing,PIPO,L,29.7,0.75438,
6/27/2018,KHE,T02,T,198,Standing,PIPO,L,25.2,0.64008,
6/27/2018,KHE,T02,T,199,Standing,PIPO,L,36.3,0.92202,
6/27/2018,KHE,T02,T,200,Standing,PIPO,L,34.9,0.88646,
6/27/2018,KHE,T02,T,201,Standing,PIPO,L,21.8,0.55372,
6/27/2018,KHE,T02,T,202,Standing,PIPO,L,28.5,0.7239,
6/27/2018,KHE,T02,T,203,Standing,PIPO,L,34.2,0.86868,
6/27/2018,KHE,T05,T,267,Standing,PIPO,L,17.7,0.44958,"Measured below DBH, multiple stems  "
6/27/2018,KHE,T05,T,268,Standing,PIPO,L,37.8,0.96012,
6/27/2018,KHE,T05,T,269,Standing,PIPO,L,31.1,0.78994,
6/27/2018,KHE,T05,T,270,Standing,PIPO,L,22.7,0.57658,
6/27/2018,KHE,T05,T,271,S,PIPO,D,9,0.2286,
6/27/2018,KHE,T05,T,272,S,PIPO,L,23,0.5842,
6/27/2018,KHE,T05,T,273,Standing,PIPO,L,31.1,0.78994,
6/27/2018,KHE,T05,T,274,S,PIPO,D,26,0.6604,
6/27/2018,KHE,T05,T,275,S,PIPO,D,24,0.6096,
6/27/2018,KHE,T05,T,276,S,PIPO,D,7,0.1778,
6/27/2018,KHE,T05,T,277,S,PIPO,D,18,0.4572,
6/27/2018,KHE,T05,T,278,S,PIPO,D,27,0.6858,
6/27/2018,KHE,T05,T,279,S,PIPO,D,19,0.4826,
6/27/2018,KHE,T05,T,280,S,PIPO,D,26,0.6604,
6/27/2018,KHE,T05,T,281,S,PIPO,D,23,0.5842,
6/27/2018,KHE,T05,T,282,S,PIPO,D,19,0.4826,
6/27/2018,KHE,T05,T,283,S,PIPO,D,32,0.8128,
6/27/2018,KHE,T05,T,284,S,PIPO,D,31,0.7874,
6/27/2018,KHE,T05,T,285,S,PIPO,D,26,0.6604,
6/27/2018,KHE,T05,T,286,S,PIPO,D,17,0.4318,
7/26/2018,KHE,T08,T,1285,Standing,PIPO,L,42.3,1.07442,
7/26/2018,KHE,T08,T,1286,Standing,PIPO,L,29,0.7366,
7/26/2018,KHE,T08,T,1287,Standing,PIPO,L,26.1,0.66294,
7/26/2018,KHE,T08,T,1288,Standing,PSME,L,26.5,0.6731,
7/26/2018,KHE,T08,T,1289,Standing,PIPO,L,35.6,0.90424,
7/26/2018,KHE,T08,T,1290,Standing,PSME,L,30.5,0.7747,
7/26/2018,KHE,T08,T,1291,Standing,POTR5,L,5.3,0.13462,
7/26/2018,KHE,T08,T,1292,Standing,PIPO,L,31.1,0.78994,
7/26/2018,KHE,T08,T,1293,Standing,PIPO,L,33.1,0.84074,
7/26/2018,KHE,T08,T,1294,Standing,PSME,L,18.2,0.46228,
7/26/2018,KHE,T08,T,1295,S,PSME,L,6.4,0.16256,Christmas tree stump
7/26/2018,KHE,T08,T,1296,S,PSME,D,22.5,0.5715,
7/26/2018,KHE,T08,T,1297,S,PSME,D,28.2,0.71628,
7/26/2018,KHE,T08,T,1298,S,PSME,D,20.3,0.51562,
7/26/2018,KHE,T08,T,1299,S,PIPO,D,27.5,0.6985,
7/26/2018,KHE,T08,T,1300,S,PIPO,D,15.5,0.3937,
7/26/2018,KHE,T08,T,1301,S,PIPO,D,6.5,0.1651,
7/26/2018,KHE,T08,T,1302,S,PIPO,D,7.4,0.18796,
7/26/2018,KHE,T08,T,1303,S,PIPO,D,13.3,0.33782,
7/26/2018,KHE,T08,T,1304,S,PIPO,D,30.6,0.77724,
7/26/2018,KHE,T08,T,1305,S,PIPO,D,7.4,0.18796,
7/26/2018,KHE,T08,T,1306,S,PIPO,D,23.7,0.60198,
7/26/2018,KHE,T08,T,1307,S,PSME,D,7.7,0.19558,
7/26/2018,KHE,T08,T,1308,S,PSME,D,34.5,0.8763,
11/7/2020,JMD,T98,T,1,S,PIPO,L,5.3,0.13462,"*Only saplings in plot (22.6 ft radius), but there are adult trees at site"
11/7/2020,JMD,T98,T,4,S,PSME,L,4.3,0.10922,
11/13/2020,JMD,T99,T,1,S,PIPO,L,33.2,0.84328,"Some missing bark, but no brown needles"
11/13/2020,JMD,T99,T,2,S,PIPO,L,26.5,0.6731,"Some missing bark, but no brown needles"
11/13/2020,JMD,T99,T,3,S,PIPO,L,29.1,0.73914,"Some missing bark, but no brown needles"
11/13/2020,JMD,T99,T,4,S,PIPO,L,9.1,0.23114,
11/13/2020,JMD,T99,T,5,S,PIPO,L,31.4,0.79756,"Some missing bark, but no brown needles"
